mood,timestamp,Calories
1,1,751.17
1,2,751.17
1,3,1405.17
1,4,1405.17
1,5,1405.17
1,6,1405.17
1,7,1405.17
1,8,1405.17
1,9,1405.17
1,10,1405.17
1,11,1405.17
1,12,1405.17
1,13,1877.17
1,14,1877.17
1,15,3135.13
1,16,3135.13
1,17,4449.13
1,18,5088.13
1,19,5088.13
1,20,5088.13
1,21,5088.13
1,22,5458.13
2,1,0
2,2,0
2,3,577
2,4,577
2,5,577
2,6,577
2,7,577
2,8,1117
2,9,1117
2,10,1657
2,11,1657
2,12,2317
2,13,2317
2,14,2571
2,15,2571
2,16,2571
2,17,2571
2,18,2571
2,19,3564
2,20,3564
2,21,3564
2,22,3564
3,1,0
3,2,0
3,3,0
3,4,0
3,5,410
3,6,410
3,7,950
3,8,950
3,9,950
3,10,950
3,11,950
3,12,950
3,13,950
3,14,1589
3,15,1589
3,16,1589
3,17,1589
3,18,2324
3,19,2324
3,20,2324
3,21,2324
3,22,2324
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,346.06
5,10,346.06
5,11,346.06
5,12,346.06
5,13,346.06
5,14,346.06
5,15,346.06
5,16,346.06
5,17,346.06
5,18,346.06
5,19,346.06
5,20,346.06
5,21,346.06
5,22,346.06
6,1,0
6,2,0
6,3,0
6,4,371.2
6,5,981.48
6,6,1632.48
6,7,1632.48
6,8,1822.48
6,9,2464.48
6,10,2464.48
6,11,3572.48
6,12,4144.48
6,13,4988.34
6,14,4988.34
6,15,4988.34
6,16,7206.34
6,17,7994.34
6,18,7994.34
6,19,7994.34
6,20,8555.34
6,21,9243.34
6,22,9643.34
7,1,0
7,2,0
7,3,0
7,4,1221.4
7,5,1221.4
7,6,1221.4
7,7,1221.4
7,8,1602.4
7,9,1602.4
7,10,2241.4
7,11,2241.4
7,12,2241.4
7,13,2241.4
7,14,2241.4
7,15,2701.4
7,16,2701.4
7,17,2701.4
7,18,2701.4
7,19,2701.4
7,20,2701.4
7,21,2701.4
7,22,2701.4
8,1,0
8,2,640
8,3,640
8,4,640
8,5,640
8,6,640
8,7,640
8,8,640
8,9,640
8,10,640
8,11,640
8,12,640
8,13,640
8,14,640
8,15,640
8,16,640
8,17,640
8,18,640
8,19,1220
8,20,1680.2
8,21,1680.2
8,22,1680.2
